player_name,player_height,player_weight
Elijah Bryant,195.58,95.25432
Ersan Ilyasova,205.74,106.59412
Edmond Sumner,193.04,88.904032
Dwayne Bacon,198.12,100.243832
E'Twaun Moore,190.5,86.636072
Marvin Williams,203.2,107.501304
Marko Guduric,198.12,91.171992
Mario Hezonja,203.2,99.79024
Marial Shayok,195.58,89.811216
Marco Belinelli,195.58,99.79024
Malcolm Miller,200.66,95.25432
Nigel Williams-Goss,187.96,86.18248
Naz Mitrou-Long,190.5,98.883056
Michael Kidd-Gilchrist,198.12,105.233344
Michael Frazier II,190.5,90.7184
Luc Mbah a Moute,203.2,104.32616
Kadeem Allen,185.42,90.7184
Justin Wright-Foreman,182.88,86.18248
Josh Reaves,193.04,97.068688
Kevin Hervey,205.74,104.32616
Lance Thomas,203.2,102.0582
Kyle O'Quinn,205.74,113.398
Kyle Alexander,208.28,97.975872
Ky Bowman,185.42,84.821704
Kyle Korver,200.66,96.161504
Troy Daniels,193.04,90.7184
Treveon Graham,195.58,99.336648
Thabo Sefolosha,198.12,97.52228
Tariq Owens,208.28,92.98636
Zhaire Smith,190.5,92.98636
Zach Norvell Jr.,195.58,92.98636
Wilson Chandler,203.2,106.59412
William Howard,203.2,93.893544
Vince Carter,198.12,99.79024
Vic Law,200.66,91.171992
Tyson Chandler,213.36,106.59412
Tyler Zeller,210.82,113.398
Omari Spellman,203.2,111.13004
Stanton Kidd,198.12,97.975872
Skal Labissiere,208.28,106.59412
Josh Magette,185.42,72.57472
Shamorie Ponds,182.88,79.3786
Shabazz Napier,182.88,79.3786
Ryan Broekhoff,198.12,97.52228
Ryan Anderson,205.74,108.86208
Josh Gray,182.88,81.64656
Courtney Lee,195.58,97.52228
Corey Brewer,205.74,85.275296
Chris Clemons,175.26,81.64656
Dewan Hernandez,208.28,106.59412
Devon Hall,195.58,97.52228
Deonte Burton,193.04,108.86208
DeMarre Carroll,198.12,97.52228
Daryl Macon,187.96,83.91452
Chandler Parsons,205.74,104.32616
Antonius Cleveland,195.58,88.45044
Ante Zizic,208.28,120.655472
Amile Jefferson,205.74,100.697424
Allonzo Trier,193.04,90.7184
Allen Crabbe,195.58,96.161504
Caleb Swanigan,205.74,117.93392
Dion Waiters,190.5,95.25432
Jarrod Uthoff,205.74,99.79024
Jamal Crawford,195.58,90.7184
Jacob Evans,193.04,95.25432
JR Smith,198.12,99.79024
Jordan McRae,195.58,81.192968
Jonathan Isaac,210.82,104.32616
Jonah Bolden,203.2,102.0582
Johnathan Williams,205.74,103.418976
Johnathan Motley,203.2,104.32616
John Henson,205.74,99.336648
Joe Chealey,193.04,86.18248
Joakim Noah,210.82,105.233344
Jerian Grant,193.04,89.811216
Jeremy Pargo,187.96,99.336648
J.P. Macura,193.04,92.079176
Evan Turner,198.12,99.79024
Eric Mika,208.28,105.686936
Elie Okobo,190.5,86.18248
Dzanan Musa,205.74,98.429464
Dusty Hannahs,190.5,95.25432
Dragan Bender,213.36,112.944408
J.J. Barea,177.8,81.64656
Ian Mahinmi,210.82,118.841104
TJ Leaf,208.28,102.0582
Terrence Jones,205.74,114.305184
Tahjere McCall,195.58,86.18248
Raymond Felton,185.42,92.98636
